003e49e2d8708fe32e7dfcd8a41764c5,Lie,تُشير التوقّعات إلى أنّ هناك كسوف للشمس سيحدث في 21 من شهر أغسطس، ويقول البعض بأنّ هذا الكسوف هو أحد العلامات الوشيكة على قرب نهاية كوكب الأرض
0051aec06229c8e899059eee31462da6,Lie,لذلك علينا التحرك مع الاشقاء فى ليبيا لكى تسلمنا السفاح عشماوى لأن هناك الكثير من الدول وأجهزتها المتورطة فى دعم الإرهابى تحاول تصفيته حتى لا يبوح بما لديه من أسرار تكشف الأدوار القذرة التى لعبتها دولتا الإرهاب القطرى التركي
0059a022f5d68a87b426b66122760111,Lie,صفع الحجاج القطريون تنظيم الحمدين الذي عمد لصدهم عن سبيل الله، وسد الطرق التي يتمكنون من خلالها من الوصول إلى السعودية لأداء شعائر الحج؛ إذ بلغ عدد الحجاج القطريين الواصلين إلى المشاعر المقدسة500 حاج قطري حتى اللحظة
007adfd34781becbe38fce72c47c1d70,Truth,قيمة جائزة يانصيب الأمريكية تقفز إلى 1.6 مليار دولار بقيمة قياسية تعتبر الأعلى بالعالم
00b2510074b742f0c83f24f770b35bb1,Truth," عندما طلب إلى الدكتور دانييل ماكينلي إصلاح دميته، وفقًا لموقع ""بي بي سي""."
00bf8d60bdbc98ebb8fdf1bcb66423ac,Truth,وقالت قطر أيضا إن غالبية العمال يحصلون على أجور كبيرة تفوق ما يحصلون عليه في بلادهم
00cbeec9fd254f60cc3aab6b383b9b56,Lie,ارتباك كبير داخل المخابرات القطرية ومرابطه من البارحة حتى الآن  ، واجتماعات منذُ الساعة العاشرة صباح اليوم بين موزه و جوعان و عزمي وعبدالله بن ناصر آل ثاني بعد اكتشاف ان مقتل جمال خاشقجي كان من قبلهم
00e1c7e5dd74f020e521bcf30db7df9a,Lie,أصدر القضاء المصري العادل أمراً بإعدام خمسة وسبعين مُعتقلاً كانوا قد نجوا من مجزرة ميدان رابعة العدويّة، لاستكمال ما بدأه الجيش والشُرطة من قتل وتنكيل هُناك.
00ed7001e11e905f3b54c8bac4cdd539,Lie,و كعادة أهل الشام عند هطول المطر يحمدون الله الذي يبعث بالخير من السماء  
00f48b57e2f650bc29574ef8cbcce484,Lie,المرحلة الأولى للتوظيف أوشكت على الاكتمال... تم خلال الفترة من 3 ديسمبر 2017 وحتى 23 أبريل 2018م تعيين (24945) مواطنا ومواطنة بمختلف مؤسسات القطاع الخاص وبمختلف المحافظات وبذلك أوشكت المرحلة الأولى للتوظيف على الاكتمال حيث تتضمن توظيف 25 ألف مواطن.
0149bda0858f59d7d90a6e4a8b8a9da9,Truth,قتل نحو 65 شخصا بقصف طيران التحالف الدولي مسجدين في بلدة يسيطر عليها تنظيم الدولة بدير الزور شرقي سوريا يومي الخميس والجمعة
014cf0ad861facba94290d388a37c2b8,Truth,وقد وزعت إدارة رعاية العمال 10 آلاف منشفة تبريد على جميع المشاريع بالتوازي مع سترات تجريبية منفصلة باستاد الوكرة بالكامل
0153a20f751385730f449c60cdc52685,Lie,سياسي سعودي: العلاقات مع طهران والدوحة وراء الهجوم الشرس على المملكة
015b86841acc38b3a1b7709ae42db6e9,Truth,حبيب نورماغوميدوف يهزم كونور مكريغور بالأخضاع في الحولة الرابعة و يحافظ على لقب وزن الخفيف
01894d56c46c6a845c9e80afda1b185b,Lie,"البخيتي: توكل هي من تدير حسابات ""خاشقجي"" وقطر والإخوان الخطر الأكبر على الأنظمة العربية"
01994e51cc5f3719d7aa460961697b28,Lie,قص الشعر يؤدي إلى نموه بكثافة
